S#No#,State Code,State Name ,District Code,District Name ,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name,Village Name Local,Village Status,Census 2001 Code,Census 2011 Code,SheetName,,,
161,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3671,5,Isusoo,,Inhabitant,239200,3671,Report$,,,
162,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3672,5,Audsoo,,Inhabitant,239300,3672,Report$,,,
163,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3686,5,Watergam,,Inhabitant,240700,3686,Report$,,,
164,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3690,5,Kamad,,Inhabitant,241100,3690,Report$,,,
165,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3700,5,Brinty Batpora,,Inhabitant,242100,3700,Report$,,,
166,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3692,5,Chichripora,,Inhabitant,241300,3692,Report$,,,
167,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3696,5,Petrhbugh,,Inhabitant,241700,3696,Report$,,,
168,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3722,5,Chee,,Inhabitant,,3722,Report$,,,
169,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3705,5,Shamsipora,,Inhabitant,250000,3705,Report$,,,
170,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3817,6,Sadoora,,Inhabitant,277100,3817,Report$,,,
171,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3718,6,Zudder,,Inhabitant,257900,3718,Report$,,,
172,1,JAMMU AND KASHMIR,1,ANANTNAG,55,Anantnag,3719,6,Bumthan,,Inhabitant,258000,3719,Report$,,,
173,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3743,1,Rakhi Brah,,Inhabitant,237400,3743,Report$,,,
174,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3744,1,Brah,,Inhabitant,237500,3744,Report$,,,
175,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3753,2,Charipora,,Inhabitant,238400,3753,Report$,,,
176,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3755,2,Shairgund,,Inhabitant,238600,3755,Report$,,,
177,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3762,2,Kuthair,,Inhabitant,243300,3762,Report$,,,
178,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3748,2,Brimer Narsar,,Inhabitant,237900,3748,Report$,,,
179,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3752,2,Chowgam,,Inhabitant,238300,3752,Report$,,,
180,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3754,2,Sheikhpora,,Inhabitant,238500,3754,Report$,,,
181,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3756,2,Kreeri,,Inhabitant,238700,3756,Report$,,,
182,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3761,2,Sombruna,,Inhabitant,243200,3761,Report$,,,
183,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,923210,2,SHANGUS,,Inhabitant,,0,Report$,,,
184,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3763,2,Ogjibalan,,Inhabitant,243400,3763,Report$,,,
185,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3764,2,Andoora,,Inhabitant,243500,3764,Report$,,,
186,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3745,2,Dethunagnarian,,Inhabitant,237600,3745,Report$,,,
187,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3740,2,Ranipora,,Inhabitant,237000,3740,Report$,,,
188,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3758,2,Wangam,,Inhabitant,239000,3758,Report$,,,
189,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3751,2,Tanjimullah,,Inhabitant,238200,3751,Report$,,,
190,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3741,2,Khulchohar,,Inhabitant,237200,3741,Report$,,,
191,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3750,2,Thimran,,Inhabitant,238100,3750,Report$,,,
192,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3749,2,Chaklipora,,Inhabitant,238000,3749,Report$,,,
193,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3759,2,Sheikhgund,,Inhabitant,239100,3759,Report$,,,
194,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3747,2,Chittergul,,Inhabitant,237800,3747,Report$,,,
195,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3742,2,Kridi,,Inhabitant,237300,3742,Report$,,,
196,1,JAMMU AND KASHMIR,1,ANANTNAG,56,Shangus,3746,3,Ohpaison,,Inhabitant,237700,3746,Report$,,,
